amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
250-2493961-6397449	250-2493961-6397449	2022-01-24T14:40:32+09:00	2022-01-25T11:50:44+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ 	K9-Y27N-DG0Z	B07ZDDP87D	Shipped	1	JPY	2480.0	225.0								三重県	518-0855	JP	
250-9571055-5357434	250-9571055-5357434	2022-01-24T13:55:53+09:00	2022-01-25T23:30:34+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	UT-1YAF-6G6B	B07STZSQF2	Shipped	1	JPY	1280.0	116.0	59.0	5.0				59.0		大阪府	553-0006	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-0314609-3955014	249-0314609-3955014	2022-01-24T13:47:22+09:00	2022-01-25T18:18:30+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)	C8-VY3A-HL06	B07RRJ5TNV	Shipped	1	JPY	1480.0	135.0								北海道	002-8003	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-2783536-2433430		2022-01-24T13:37:03+09:00	2022-01-24T13:54:16+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E011 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 熊型 クマ	0C-E4L2-7DEJ	B079D7VRX6	Shipped	1	JPY	598.0	54.0								愛知県	453-0856	JP	
249-2783536-2433430		2022-01-24T13:37:03+09:00	2022-01-24T13:54:16+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E011 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 熊型 クマ	DK-T737-A3K3	B079D86DWF	Shipped	1	JPY	598.0	54.0								愛知県	453-0856	JP	
249-8193432-8328608	249-8193432-8328608	2022-01-24T12:47:10+09:00	2022-01-25T09:19:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	【Smart-Bear】W019 子供の靴下 ベビー 幼児用 キッズ 子供 靴下 キッズ 女の子 男の子 5足セット 薄手 通気 夏 (L)	UT-1YAF-6G6B	B07STZSQF2	Shipped	1	JPY	1280.0	116.0								東京都	111-0032	JP	
503-3569292-9473432	503-3569292-9473432	2022-01-24T11:58:22+09:00	2022-01-25T14:58:28+09:00	Shipped	Amazon	Amazon.co.jp			Standard	【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)	91-7A3K-7U8I	B07RRJ3RVV	Shipped	1	JPY	1280.0	116.0	205.0	19.0				205.0		神奈川県	223-0066	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-8921852-4679801		2022-01-24T11:34:07+09:00	2022-01-24T13:40:11+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】A134 ファーウェイ Huawei P10/Huawei P10 lite/Huawei P10 Plus/honor 9対応 ケース 透明 クリアケース スマホケース	WO-V9HK-H27X	B07F84V2FX	Shipped	1	JPY	298.0	27.0								山形県	999-7611	JP	
249-5105163-6042216		2022-01-24T11:12:14+09:00	2022-01-24T13:43:03+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】E018 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 薄型 スタ 	VX-W47D-P1C7	B096R2WK9R	Shipped	1	JPY	598.0	54.0								埼玉県	344-0116	JP	
249-1156010-8463817		2022-01-24T11:12:11+09:00	2022-01-31T11:16:43+09:00	Cancelled	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 ☆型 スター型 ロースゴールド(熊型)	7M-DL2D-8B0C	B075HJZD4T		0											千葉県	277-0803	JP	
